"Guillaume_1000_lines" "Jean_1000_lines"
"voir" 0.144238927541151 0.0837131429634453
"avec" 0.135754284744612 0.0837131429634453
"coeur" 0.110300356354997 0.11161752395126
"peut" 0.0509078567792296 0.176727746256162
"avoir" 0.0848464279653827 0.130220444609804
"être" 0.0763617851688444 0.139521904939075
"fut" 0.118784999151536 0.093014603292717
"puet" 0.0509078567792296 0.167426285926891
"riens" 0.110300356354997 0.102316063621989
"toujours" 0.0763617851688444 0.139521904939075
"dans" 0.144238927541151 0.0558087619756302
"près" 0.144238927541151 0.0558087619756302
"terre" 0.127269641948074 0.0744116826341736
"ainsi" 0.0339385711861531 0.167426285926891
"cette" 0.135754284744612 0.0558087619756302
"leurs" 0.0763617851688444 0.120918984280532
"mie" 0.118784999151536 0.0744116826341736
"ont" 0.0763617851688444 0.120918984280532
"point" 0.0678771423723061 0.130220444609804
"ai" 0.110300356354997 0.0744116826341736
"ami" 0.0339385711861531 0.158124825597619
"amors" 0.0933310707619209 0.093014603292717
"dame" 0.110300356354997 0.0744116826341736
"dire" 0.0763617851688444 0.11161752395126
"mains" 0.135754284744612 0.0465073016463585
"moi" 0.0678771423723061 0.120918984280532
"nus" 0.0763617851688444 0.11161752395126
"chanter" 0.169692855930765 0
"envie" 0.118784999151536 0.0558087619756302
"pris" 0.110300356354997 0.0651102223049019
"aux" 0.0848464279653827 0.0837131429634453
"bon" 0.0848464279653827 0.0837131429634453
"fame" 0.0424232139826913 0.130220444609804
"furent" 0.110300356354997 0.0558087619756302
"prendre" 0.0933310707619209 0.0744116826341736
"sont" 0.0509078567792296 0.120918984280532
"dit" 0.0933310707619209 0.0651102223049019
"ge" 0.0763617851688444 0.0837131429634453
"mal" 0.0593924995757679 0.102316063621989
"soi" 0.0509078567792296 0.11161752395126
"sunt" 0.0763617851688444 0.0837131429634453
"veut" 0.0169692855930765 0.148823365268347
"vie" 0.0593924995757679 0.102316063621989
"vuet" 0 0.167426285926891
"belle" 0.0933310707619209 0.0558087619756302
"dieu" 0.110300356354997 0.0372058413170868
"encor" 0.0678771423723061 0.0837131429634453
"fois" 0.0509078567792296 0.102316063621989
"fust" 0.110300356354997 0.0372058413170868
"vos" 0.0169692855930765 0.139521904939075
"y" 0.0933310707619209 0.0558087619756302
"avarice" 0.101815713558459 0.0372058413170868
"eût" 0.110300356354997 0.0279043809878151
"karole" 0.135754284744612 0
"maintes" 0.101815713558459 0.0372058413170868
"même" 0.0678771423723061 0.0744116826341736
